Origin,"Albany, NY, USA","Atlanta, GA, USA","Austin, TX, USA","Baltimore, MD, USA","Baton Rouge, LA, USA","Beaumont, TX, USA","Birmingham, AL, USA","Boston, MA, USA","Buffalo, NY, USA","Charleston, SC, USA","Charlotte, NC, USA","Chicago, IL, USA","Cincinnati, OH, USA","Cleveland, OH, USA","Columbus, OH, USA","Corpus Christi, TX, USA","Dallas, TX, USA","Dayton, OH, USA","Denver, CO, USA","Detroit, MI, USA","El Paso, TX, USA","Fort Wayne, IN, USA","Fresno, CA, USA","Grand Rapids, MI, USA","Greensboro, NC, USA","Greenville, SC, USA","Hartford, CT, USA","Houston, TX, USA","Indianapolis, IN, USA","Jacksonville, FL, USA","Kansas City, MO, USA","Knoxville, TN, USA","Las Vegas, NV, USA","Los Angeles, CA, USA","Louisville, KY, USA","Memphis, TN, USA","Miami, FL, USA","Milwaukee, WI, USA","Minneapolis, MN, USA","Nashville, TN, USA","New Orleans, LA, USA","New York, NY, USA","Oklahoma City, OK, USA","Omaha, NE, USA","Orlando, FL, USA","Philadelphia, PA, USA","Phoenix, AZ, USA","Pittsburgh, PA, USA","Portland, OR, USA","Raleigh, NC, USA","Richmond, VA, USA","Rochester, NY, USA","Sacramento, CA, USA","Salt Lake City, UT, USA","San Antonio, TX, USA","San Diego, CA, USA","San Francisco, CA, USA","Seattle, WA, USA","St. Louis, MO, USA","Tampa, FL, USA","Tucson, AZ, USA","Tulsa, OK, USA","Washington, USA","Wichita, KS, USA"
"Albany, NY, USA",0,2046528,2975371,524958,1316183,2682107,1746328,273107,464702,1450255,1237861,1615699,1152760,762229,980778,3150174,2662382,1094378,4733394,870070,3569256,1260053,4713751,1079070,1096608,1385763,2902383,2817315,1315211,4519428,2039324,1335267,4101950,3991115,2350798,1934967,1730342,1460883,1970448,1598469,2388075,245580,2454307,2041012,2296543,375061,0,739487,4700524,1008632,761686,363715,4532956,3537986,3131997,4574099,4565567,4633207,1653791,1958207,3997838,2286147,181351,1088980
"Atlanta, GA, USA",1616621,0,1497719,757002,678046,1140762,236644,1705286,1436764,480166,396893,733572,741549,1142148,913564,1608829,1257540,827274,3714770,1162491,2279209,859794,3994369,1274004,533796,234121,2259134,1275969,1106139,4129243,1288860,343704,3173660,2793340,1557304,629722,556113,1258271,1792114,401787,846729,1370464,1378819,1585244,1066225,1223490,0,1102025,4176536,652387,853714,1547959,3514332,3013998,1590651,3984852,3443667,4243022,892983,705973,2970285,1274925,1546271,1052114
"Austin, TX, USA",2968828,1841150,0,2511802,1658687,399870,1263734,3160343,2509817,1975519,1892865,1496329,1814602,2215201,1986617,349670,314357,1900327,2567349,2212249,927890,1748609,2829968,2046983,2029768,1730093,1463721,265959,1803884,3352668,1187176,1669587,2042888,1442022,877833,1041298,1663594,1926880,1887934,1381808,695825,2805433,624445,1352341,2173803,2670847,0,2278164,3304515,2148359,2349686,2621012,2217026,2075646,128154,2833800,2092348,3406519,1328131,1813551,1618967,728202,3009582,1952081
"Baltimore, MD, USA",529637,1532770,2510922,0,980674,2191101,1255321,648337,579113,936497,681563,1063897,824574,604158,650089,2659168,2197933,765144,4462464,847078,3218407,930819,4528280,1058312,530425,833960,2680364,2326308,1129740,4333957,1710090,844261,3883074,3661881,2021564,1470518,1216584,1275412,1784977,1131180,1897069,313514,2125073,1855541,1782785,166541,0,397883,4515052,494874,247927,541917,4262027,3352514,2640990,4388628,4236333,4447736,1324557,1444449,3668604,1956913,489322,898818
"Baton Rouge, LA, USA",2389951,1149016,689494,130650,0,296120,643852,2546810,2079844,1317530,1243370,847292,1384629,1785228,1556644,764187,664116,1470354,3166639,1827143,1626829,1363503,3446239,1707520,1380272,1080598,1937627,431327,1474396,4025970,1231926,1056054,2625530,2140961,1243966,617790,971459,1617929,1949919,948070,1228714,2191901,990579,1528356,1481669,2057315,0,1847311,3930364,1498864,1700191,2191039,2915964,2658287,746009,3436722,2791287,4032368,1072735,1121417,2317905,906541,2396050,1566974
"Beaumont, TX, USA",2683644,1442709,394360,2191963,1522407,0,937545,2840503,2373537,1611223,1537063,1140985,1678322,2078921,1850337,469053,459591,1764047,2971153,2038128,1331695,1574488,3233773,1918505,1673965,1374291,1730514,136193,1685729,3818856,1179681,1349747,2418416,1845827,1043720,911483,1265152,1808725,1877656,1241763,297383,2485593,790333,1518229,1775362,2351008,0,2141004,3723250,1792557,1993883,2484732,2620830,2451174,450875,3237604,2496153,3825255,1210127,1415110,2022771,765480,2689742,1777960
"Birmingham, AL, USA",1747152,968300,1265032,554117,588595,937290,0,1904012,1439725,715572,632918,236382,744510,1145109,916525,1405357,1024852,830235,3479576,1165452,2046521,770343,3759175,1184553,769820,470146,2153845,1072497,1016689,3959653,1119224,413256,2938466,2560653,1322110,394528,790841,1168820,1681019,307951,643258,1549102,1143625,1415654,1300953,1414516,0,1204513,4006946,888412,1089738,1550920,3279138,2844408,1387179,3749658,3210979,4073432,803532,940700,2737598,1039731,1753251,962663
"Boston, MA, USA",272084,2165329,3162862,643759,1561917,2843041,1907261,0,731640,1569056,1326541,1708875,1398494,1029166,1226512,3311108,2849873,1340112,5000331,1137008,3814990,1505787,4980688,1346008,1175403,1478938,3169321,2978248,1582148,4786365,2285058,1496201,4368888,4236849,2596532,2122458,1849143,1727821,2237386,1783120,2549009,349223,2700041,2307949,2415344,493862,0,919657,4967461,1127433,880487,630652,4799894,3804923,3292931,4841036,4811301,4900144,1899525,2077008,4243572,2531881,162122,1355918
"Buffalo, NY, USA",467642,1985747,2517700,583025,858512,2381142,1447692,733349,0,1388987,1058347,1436185,695089,304557,523106,2722550,2204711,636707,4275722,413852,3111585,802381,4256079,622852,1023955,1206249,2444712,2389577,857539,4061756,1581652,1098922,3644279,3533443,1893126,1477295,1669561,1003212,1512777,1140797,2087109,621068,1996635,1583340,2235762,603734,0,345809,4242852,999202,752256,119826,4075285,3080314,2644285,4116427,4107895,4175535,1196120,1897426,3540167,1828476,641592,631309
"Charleston, SC, USA",1445964,700167,1978394,924734,992213,1644225,717319,1564665,1387945,0,336221,481879,999516,1162312,1018185,2112293,1738215,1067899,4195444,1328282,2759883,1169910,4475044,1521781,440870,343158,2740153,1779433,1468948,4610262,1769879,600587,3654335,3274015,2037979,1110397,383981,1624819,2133196,882806,1350193,1229842,1859494,2066263,950182,1082869,0,1053423,4657555,450554,682191,1457294,3995007,3495017,2094115,4465527,3924341,4724041,1374002,611846,3450960,1755600,1405650,1262636
